,PC1,PC2,PC3,sample_id,Super_Population,Population,Population_Description
757,-61241.308075063556,15785.277813283876,-19261.952934028854,NA20530,EUR,TSI,Toscani in Italy
758,-57819.42086443726,9692.234469911331,-13979.14563357858,NA20531,EUR,TSI,Toscani in Italy
759,-56844.50762076565,9182.19580740768,306.926959253136,NA20532,EUR,TSI,Toscani in Italy
760,-52356.0048142033,-1724.5163111048992,-757.7042182364073,NA20533,EUR,TSI,Toscani in Italy
761,-49139.99463347021,14574.149918401105,10535.23905927413,NA20534,EUR,TSI,Toscani in Italy
762,-47426.59529476466,1803.1897910599766,4151.919237722753,NA20535,EUR,TSI,Toscani in Italy
763,-37611.592930953535,5152.719247297606,-8024.771286668164,NA20536,EUR,TSI,Toscani in Italy
764,-36293.51494737248,1902.3524187601968,-14542.760065072813,NA20538,EUR,TSI,Toscani in Italy
765,-51058.701918518185,-3751.434774686164,-10088.761707736341,NA20539,EUR,TSI,Toscani in Italy
766,-65346.99547632037,2838.074875029499,21412.474331544545,NA20540,EUR,TSI,Toscani in Italy
767,-33719.08775440056,9761.201895055374,5239.460256045749,NA20541,EUR,TSI,Toscani in Italy
768,-29382.29603575059,5774.352205717772,5563.880328835531,NA20542,EUR,TSI,Toscani in Italy
769,-36939.98943883467,16638.09187944961,4460.266618632365,NA20543,EUR,TSI,Toscani in Italy
770,-44701.85603754628,7684.072876177296,-7104.3232126231815,NA20544,EUR,TSI,Toscani in Italy
771,-36807.450036680646,2807.060673252276,2601.3811614061815,NA20581,EUR,TSI,Toscani in Italy
772,-58853.30891393074,7572.270743904367,-12705.52616435988,NA20582,EUR,TSI,Toscani in Italy
773,-51812.36421535967,5378.431836453181,-4106.223726540979,NA20585,EUR,TSI,Toscani in Italy
774,-46695.79435584578,7049.803274266483,1420.3260271109734,NA20586,EUR,TSI,Toscani in Italy
775,-57997.38873494629,2137.28392430576,-8143.231955201827,NA20587,EUR,TSI,Toscani in Italy
776,-46741.854882797714,8938.939920977626,4388.913972000766,NA20588,EUR,TSI,Toscani in Italy
777,-55994.93393525568,9088.442823978514,1073.3829482379974,NA20589,EUR,TSI,Toscani in Italy
778,-51852.46940201167,298.34063752793685,12722.898242417863,NA20752,EUR,TSI,Toscani in Italy
779,-44699.41988354215,3189.428879751458,7473.984796071673,NA20753,EUR,TSI,Toscani in Italy
780,-37024.01689743737,17629.287368687343,18442.408024241122,NA20754,EUR,TSI,Toscani in Italy
781,-61863.202180098786,2522.805811212522,2711.4632435295557,NA20755,EUR,TSI,Toscani in Italy
782,-50681.51877692364,3086.5592874366966,-4465.14611803074,NA20756,EUR,TSI,Toscani in Italy
783,-51183.45968281471,1141.8716622265435,14601.148158721167,NA20757,EUR,TSI,Toscani in Italy
784,-54547.74459798187,846.343156775463,-2255.396853303184,NA20758,EUR,TSI,Toscani in Italy
785,-54156.98974145365,-670.7681637305778,1834.5313933642162,NA20759,EUR,TSI,Toscani in Italy
786,-56733.99097487833,137.87250055272386,-2629.4408602639824,NA20760,EUR,TSI,Toscani in Italy
787,-57061.495704725174,10266.55442020364,-16211.221503662575,NA20761,EUR,TSI,Toscani in Italy
